None,SBB_CHARACTER_CATBURGLAR,None,None,None,None,None,SBB_HERO_DRACULA,SBB_TREASURE_SCROLLOFTHEELDERS,SBB_TREASURE_MIDASHAND,None,None,None,None,SBB_CHARACTER_VULTURE,SBB_CHARACTER_THEWHITESTAG,SBB_CHARACTER_TIM,None,SBB_CHARACTER_WOMBATSINDISGUISE,SBB_CHARACTER_ELDERTREANT,SBB_HERO_MRSCLAUS,SBB_TREASURE_FANCYPANTS,SBB_TREASURE_MIDASHAND,None,None,None,0.0,1.0,0.0
None,None,None,None,None,None,SBB_CHARACTER_MONSTERBOOK,SBB_HERO_CHARON,SBB_TREASURE_BOOKOFHEROES,None,None,None,None,None,None,SBB_CHARACTER_VULTURE,None,SBB_CHARACTER_THEWHITESTAG,SBB_CHARACTER_FRIENDLYTREE,SBB_CHARACTER_LEAPFROG,SBB_HERO_CHARON,SBB_TREASURE_FOOL'SGOLD,SBB_TREASURE_PHOENIXFEATHER,SBB_TREASURE_CLOAKOFTHEASSASSIN,None,None,0.0,0.0,1.0
None,None,None,None,None,None,SBB_CHARACTER_MEDUSA,SBB_HERO_CHARON,SBB_TREASURE_POWERSTONE,None,None,None,None,None,None,SBB_CHARACTER_KINGTREE,None,None,SBB_CHARACTER_WOMBATSINDISGUISE,SBB_CHARACTER_JULIET,SBB_HERO_SIRPIPS-A-LOT,SBB_TREASURE_PHOENIXFEATHER,None,None,None,None,0.0,1.0,0.0
None,None,SBB_CHARACTER_WIZARD'SFAMILIAR,SBB_CHARACTER_CATBURGLAR,SBB_CHARACTER_BADBILLYGRUFF,None,None,SBB_HERO_MILITARYLEADER,SBB_TREASURE_FOUNTAINOFYOUTH,SBB_TREASURE_CURSEDTHRONE,SBB_TREASURE_LOCKEDCHEST,None,None,None,SBB_CHARACTER_THETOOTHFAIRY,None,None,SBB_CHARACTER_BLACKCAT,SBB_CHARACTER_BADBILLYGRUFF,None,SBB_HERO_KRAMPUS,SBB_TREASURE_RINGOFREGENERATION,SBB_TREASURE_HERMES'BOOTS,None,None,None,0.0,0.0,1.0
None,None,SBB_CHARACTER_PRINCESSPEEP,None,None,SBB_CHARACTER_BABYROOT,None,SBB_HERO_THECOLLECTOR,SBB_TREASURE_STONEHELM,SBB_TREASURE_TRAININGDUMMY,None,None,None,None,SBB_CHARACTER_CINDER-ELLA,None,SBB_CHARACTER_POLYWOGGLE,SBB_CHARACTER_FOXTAILARCHER,SBB_CHARACTER_WICKEDWITCHOFTHEWEST,None,SBB_HERO_DRACULA,SBB_TREASURE_RINGOFMETEORS,None,None,None,None,1.0,0.0,0.0
None,None,SBB_CHARACTER_BADBILLYGRUFF,SBB_CHARACTER_BIGBOSS,SBB_CHARACTER_LONELYPRINCE,SBB_CHARACTER_HUMPTYDUMPTY,SBB_CHARACTER_POLYWOGGLE,SBB_HERO_GEPETTO,SBB_TREASURE_DEVILSCONTRACT,SBB_TREASURE_EASTEREGG,SBB_TREASURE_MONSTERMANUAL,None,None,None,SBB_CHARACTER_WEEWILLIEWINKIE,None,None,SBB_CHARACTER_BLACKCAT,SBB_CHARACTER_CINDER-ELLA,SBB_CHARACTER_BLINDMOUSE,SBB_HERO_KRAMPUS,SBB_TREASURE_RUSTYDAGGERS,None,None,None,None,0.0,0.0,1.0
None,SBB_CHARACTER_FATDRAGON,SBB_CHARACTER_BABYROOT,SBB_CHARACTER_BABAYAGA,SBB_CHARACTER_DUMBLEDWARF,SBB_CHARACTER_SUMMONER,None,SBB_HERO_MILITARYLEADER,None,None,None,None,None,None,SBB_CHARACTER_LOBO,SBB_CHARACTER_GOODANDEVILSISTERS,SBB_CHARACTER_ELDERTREANT,SBB_CHARACTER_WRETCHEDMUMMY,SBB_CHARACTER_NIGHTSTALKER,SBB_CHARACTER_BABYROOT,SBB_HERO_FATE,SBB_TREASURE_JUMPINGJACKS,None,None,None,None,0.0,0.36,0.64
None,None,None,SBB_CHARACTER_PRIZEDPIG,SBB_CHARACTER_GOODWITCHOFTHENORTH,SBB_CHARACTER_POLYWOGGLE,SBB_CHARACTER_SHADOWASSASSIN,SBB_HERO_GANDALF,SBB_TREASURE_SPINNINGWHEEL,SBB_TREASURE_TRAININGDUMMY,None,None,None,None,SBB_CHARACTER_WEEWILLIEWINKIE,None,None,None,None,None,SBB_HERO_GEPETTO,SBB_TREASURE_SUPERRUNESTONES,SBB_TREASURE_SHARPENINGSTONE,None,None,None,1.0,0.0,0.0
None,None,SBB_CHARACTER_SHADOWASSASSIN,None,SBB_CHARACTER_GRUMBLEGORE,None,SBB_CHARACTER_WICKEDWITCHOFTHEWEST,SBB_HERO_KINGLION,SBB_TREASURE_THEARK,SBB_TREASURE_MIDASHAND,None,None,None,None,None,SBB_CHARACTER_THEGREATANDPOWERFUL,None,None,None,None,SBB_HERO_KRAMPUS,None,None,None,None,None,1.0,0.0,0.0
None,SBB_CHARACTER_PROSPERO,None,SBB_CHARACTER_FRIENDLYGHOST,None,SBB_CHARACTER_TROJANDONKEY,SBB_CHARACTER_LABYRINTHMINOTAUR,SBB_HERO_DRACULA,SBB_TREASURE_FANCYPANTS,None,None,None,None,None,SBB_CHARACTER_BABYROOT,None,None,None,None,None,SBB_HERO_MERLIN,None,None,None,None,None,1.0,0.0,0.0
